City,Population,Pop2,Violent_crime,Murder_nonneg_nonman,Rape1,Rape2,Robbery,Agg_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson3
Gates Town,28468.00,810427024.00,57.00,0.00,,4.00,19.00,34.00,1051.00,95.00,922.00,34.00,
Geddes Town,10442.00,109035364.00,7.00,0.00,,0.00,2.00,5.00,251.00,21.00,222.00,8.00,1.00
Geneseo Village,7891.00,62267881.00,6.00,0.00,,3.00,3.00,0.00,162.00,7.00,155.00,0.00,0.00
Geneva,13194.00,174081636.00,28.00,1.00,,4.00,5.00,18.00,343.00,65.00,275.00,3.00,1.00
Germantown Town,1926.00,3709476.00,0.00,0.00,,0.00,0.00,0.00,9.00,2.00,7.00,0.00,0.00
Glen Cove,27134.00,736253956.00,3.00,0.00,,0.00,1.00,2.00,62.00,5.00,54.00,3.00,0.00
Glen Park Village,526.00,276676.00,0.00,0.00,,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00
Glens Falls,14582.00,212634724.00,22.00,0.00,,2.00,3.00,17.00,343.00,50.00,288.00,5.00,
Glenville Town,21839.00,476941921.00,13.00,0.00,,0.00,2.00,11.00,492.00,57.00,424.00,11.00,
Gloversville,15315.00,234549225.00,33.00,0.00,,9.00,6.00,18.00,686.00,111.00,560.00,15.00,0.00
Goshen Village,5400.00,29160000.00,2.00,0.00,,1.00,1.00,0.00,64.00,2.00,62.00,0.00,0.00
Gowanda Village,2663.00,7091569.00,5.00,0.00,,0.00,0.00,5.00,29.00,11.00,16.00,2.00,
Granville Village,2498.00,6240004.00,6.00,0.00,,1.00,0.00,5.00,26.00,7.00,19.00,0.00,1.00
Great Neck Estates Village,2794.00,7806436.00,0.00,0.00,,0.00,0.00,0.00,20.00,6.00,12.00,2.00,0.00
Greece Town,96667.00,9344508889.00,151.00,0.00,,9.00,60.00,82.00,2303.00,332.00,1925.00,46.00,
Greenburgh Town,44787.00,2005875369.00,48.00,1.00,,5.00,16.00,26.00,578.00,55.00,501.00,22.00,
Greene Village,1553.00,2411809.00,0.00,0.00,,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
Green Island Village,2621.00,6869641.00,2.00,0.00,,0.00,1.00,1.00,42.00,7.00,31.00,4.00,
Greenport Town,4065.00,16524225.00,2.00,0.00,,0.00,1.00,1.00,213.00,10.00,201.00,2.00,
Greenwood Lake Village,3118.00,9721924.00,2.00,0.00,,0.00,0.00,2.00,21.00,3.00,16.00,2.00,
Groton Village,2381.00,5669161.00,2.00,0.00,,2.00,0.00,0.00,38.00,6.00,31.00,1.00,
Guilderland Town,33805.00,1142778025.00,12.00,0.00,,3.00,5.00,4.00,672.00,48.00,623.00,1.00,
Hamburg Town,45535.00,2073436225.00,38.00,1.00,,1.00,12.00,24.00,1167.00,134.00,1012.00,21.00,6.00
Hamburg Village,9517.00,90573289.00,8.00,0.00,,2.00,0.00,6.00,161.00,40.00,121.00,0.00,0.00
Hammondsport Village,656.00,430336.00,0.00,0.00,,0.00,0.00,0.00,10.00,1.00,9.00,0.00,0.00
Harrison Town,27876.00,777071376.00,6.00,0.00,,0.00,1.00,5.00,225.00,27.00,194.00,4.00,
Hastings-on-Hudson Village,7937.00,62995969.00,1.00,0.00,,0.00,1.00,0.00,81.00,4.00,75.00,2.00,0.00
Haverstraw Town,37196.00,1383542416.00,64.00,0.00,,3.00,16.00,45.00,340.00,83.00,244.00,13.00,3.00
Hempstead Village,55198.00,3046819204.00,433.00,10.00,,3.00,204.00,216.00,958.00,206.00,630.00,122.00,2.00
Herkimer Village,7693.00,59182249.00,53.00,0.00,,9.00,3.00,41.00,379.00,49.00,330.00,0.00,1.00
Highland Falls Village,3847.00,14799409.00,3.00,0.00,,0.00,0.00,3.00,39.00,8.00,31.00,0.00,0.00
Homer Village,3270.00,10692900.00,0.00,0.00,,0.00,0.00,0.00,33.00,3.00,29.00,1.00,0.00
Hoosick Falls Village,3466.00,12013156.00,9.00,0.00,,1.00,1.00,7.00,38.00,10.00,26.00,2.00,
Hornell,8481.00,71927361.00,5.00,0.00,,0.00,0.00,5.00,112.00,18.00,94.00,0.00,
Horseheads Village,6701.00,44903401.00,2.00,0.00,,0.00,0.00,2.00,110.00,20.00,90.00,0.00,0.00
Hudson,6676.00,44568976.00,26.00,0.00,,1.00,8.00,17.00,198.00,25.00,172.00,1.00,
Hudson Falls Village,7187.00,51652969.00,6.00,0.00,,0.00,2.00,4.00,112.00,22.00,90.00,0.00,
Huntington Bay Village,1428.00,2039184.00,1.00,0.00,,0.00,0.00,1.00,12.00,0.00,11.00,1.00,1.00
Hyde Park Town,21397.00,457831609.00,18.00,0.00,,3.00,4.00,11.00,180.00,42.00,133.00,5.00,0.00
Ilion Village,8002.00,64032004.00,15.00,0.00,,1.00,2.00,12.00,128.00,21.00,106.00,1.00,
Irondequoit Town,51506.00,2652868036.00,93.00,1.00,,6.00,51.00,35.00,1353.00,271.00,1049.00,33.00,
Irvington Village,6530.00,42640900.00,0.00,0.00,,0.00,0.00,0.00,23.00,4.00,19.00,0.00,0.00
Jamestown,30658.00,939912964.00,168.00,0.00,,19.00,39.00,110.00,1140.00,281.00,829.00,30.00,
Johnson City Village,14866.00,220997956.00,69.00,1.00,,6.00,20.00,42.00,949.00,111.00,828.00,10.00,
Johnstown,8531.00,72777961.00,14.00,0.00,,1.00,4.00,9.00,316.00,29.00,273.00,14.00,
Jordan Village,1350.00,1822500.00,1.00,0.00,,0.00,0.00,1.00,2.00,0.00,2.00,0.00,0.00
Kenmore Village,15256.00,232745536.00,26.00,1.00,,2.00,10.00,13.00,220.00,34.00,181.00,5.00,0.00
Kent Town,13381.00,179051161.00,1.00,0.00,,1.00,0.00,0.00,98.00,22.00,71.00,5.00,0.00
Kings Point Village,5042.00,25421764.00,1.00,0.00,,0.00,0.00,1.00,16.00,4.00,11.00,1.00,0.00
Kingston,23665.00,560032225.00,74.00,1.00,,4.00,25.00,44.00,687.00,112.00,565.00,10.00,1.00
Kirkland Town,8296.00,68823616.00,0.00,0.00,,0.00,0.00,0.00,103.00,21.00,81.00,1.00,
Lackawanna,17965.00,322741225.00,89.00,1.00,,13.00,11.00,64.00,533.00,100.00,398.00,35.00,3.00
Lake Placid Village,2491.00,6205081.00,2.00,0.00,,0.00,0.00,2.00,51.00,11.00,38.00,2.00,1.00
Lake Success Village,3009.00,9054081.00,2.00,0.00,,0.00,0.00,2.00,32.00,10.00,21.00,1.00,
Lakewood-Busti,7280.00,52998400.00,1.00,0.00,,0.00,1.00,0.00,341.00,23.00,316.00,2.00,
Lancaster Town,36369.00,1322704161.00,15.00,0.00,,1.00,4.00,10.00,547.00,44.00,494.00,9.00,0.00
Larchmont Village,5930.00,35164900.00,2.00,0.00,,0.00,0.00,2.00,87.00,8.00,77.00,2.00,
Le Roy Village,4354.00,18957316.00,11.00,0.00,,2.00,1.00,8.00,84.00,17.00,67.00,0.00,
Lewiston Town and Village,16175.00,261630625.00,12.00,0.00,,0.00,1.00,11.00,134.00,30.00,96.00,8.00,
Liberty Village,4285.00,18361225.00,21.00,0.00,,2.00,2.00,17.00,206.00,43.00,160.00,3.00,
Little Falls,4912.00,24127744.00,16.00,0.00,,3.00,1.00,12.00,130.00,18.00,111.00,1.00,
Liverpool Village,2311.00,5340721.00,2.00,0.00,,0.00,1.00,1.00,46.00,6.00,39.00,1.00,0.00
Lloyd Harbor Village,3683.00,13564489.00,0.00,0.00,,0.00,0.00,0.00,18.00,2.00,16.00,0.00,0.00
Lloyd Town,10751.00,115584001.00,6.00,0.00,,0.00,0.00,6.00,118.00,20.00,95.00,3.00,0.00
Lockport,20904.00,436977216.00,70.00,0.00,,6.00,24.00,40.00,649.00,120.00,523.00,6.00,
Long Beach,33534.00,1124529156.00,35.00,0.00,,1.00,13.00,21.00,337.00,42.00,277.00,18.00,
Lowville Village,3457.00,11950849.00,2.00,0.00,,0.00,0.00,2.00,58.00,7.00,47.00,4.00,
Lynbrook Village,19528.00,381342784.00,12.00,0.00,,1.00,3.00,8.00,164.00,18.00,128.00,18.00,
Lyons Village,3543.00,12552849.00,27.00,0.00,,5.00,3.00,19.00,179.00,34.00,142.00,3.00,
Macedon Town and Village,9132.00,83393424.00,4.00,0.00,,0.00,1.00,3.00,61.00,7.00,52.00,2.00,
Malone Village,5881.00,34586161.00,4.00,0.00,,0.00,2.00,2.00,192.00,28.00,161.00,3.00,2.00
Malverne Village,8542.00,72965764.00,4.00,0.00,,0.00,3.00,1.00,21.00,3.00,17.00,1.00,0.00
Mamaroneck Town,12146.00,147525316.00,1.00,0.00,,0.00,1.00,0.00,158.00,16.00,141.00,1.00,0.00
Mamaroneck Village,19164.00,367258896.00,8.00,0.00,,1.00,2.00,5.00,181.00,23.00,150.00,8.00,0.00
Manchester Village,1688.00,2849344.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manlius Town,24461.00,598340521.00,18.00,0.00,,0.00,4.00,14.00,402.00,56.00,343.00,3.00,0.00
Marcellus Village,1792.00,3211264.00,0.00,0.00,,0.00,0.00,0.00,13.00,2.00,11.00,0.00,0.00
Marlborough Town,8769.00,76895361.00,5.00,0.00,,0.00,1.00,4.00,135.00,35.00,97.00,3.00,1.00
